model_name,cluster_id_30,global_mae,perturbed_auroc,perturbed_auprc,derived_radius_mae,derived_class_macro_f1,mae_shell_0,mae_shell_1,mae_shell_2,mae_shell_3,mae_shell_4,shell_mae
base_v5,1ct1_E,0.2773535816057411,0.8610941212870408,0.3134563158590995,26.22122393282663,0.003952569169960474,1.2628807015511705,0.5174328573017497,0.1945839198773436,0.2870774289819651,0.2220862017714054,0.4968122218967269
base_v5,1gyr_C,0.3646523220836434,0.7235054894237146,0.24137613426451912,39.562649726867676,0.0,0.22957182344463137,0.20392445445592916,0.241905531190325,0.36045961734856924,0.37452730653472427,0.2820777465948358
base_v5,1h7x_D,0.18513522668236604,0.8471307048275749,0.19274419423603859,80.03887315229936,0.09090909090909091,1.8505888068766303,1.6837927090495635,0.5391034245009283,0.1283092986371746,0.1490293136504596,0.8701647105429514
base_v5,1ild_A,0.15970983367833647,0.9735294117647059,0.5645833333333333,32.0631103515625,0.0,0.22269087284803393,0.2452095313505693,0.14290783488575148,0.09296541795905294,0.16525187552315632,0.1738051065133128
base_v5,1jll_E,0.22554619104010712,0.8024943337397807,0.23809012511812375,31.290436137806285,0.9090909090909091,0.07784312308737727,0.10256879112655017,0.1554162416693638,0.18679325418527826,0.24479236203235102,0.1534827544201841
base_v5,1me5_B,0.2598359432817941,0.742599395151012,0.25466488198553144,34.087395985921226,0.0,0.2772959735658434,0.16272102923442922,0.17260951508676967,0.197604791971145,0.28809191326161915,0.2196646446239613
base_v5,1mjy_A,0.39436258041871747,0.8185107174674621,0.4541484793144144,23.571336327937612,0.0,0.37409241586291825,0.42810656818086906,0.37998313560771363,0.4040924489963398,0.40254278446460856,0.39776347062248985
base_v5,1u5o_A,0.3115856679339157,0.7991134054911228,0.4696348553005658,8.679454061720106,0.5555555555555556,0.41995209179542686,0.21096763887937053,0.24287035714825075,0.2415799904560697,0.3442143939697142,0.29191689444976643
base_v5,1vyd_B,0.14097670481363633,0.9173913043478261,0.525,11.682313919067383,0.5,0.185364971558253,0.24056543875485661,0.13205738624350893,0.13522597813668352,0.13772342282301578,0.16618743950326356
base_v5,1vzi_B,0.18632298683961854,0.6731104084420821,0.03600564523406963,16.99758849143982,0.35,0.20788758783601224,0.12925288187605993,0.16420760608764579,0.1610299897057352,0.2252506946202042,0.1775257520251315
base_v5,1y39_A,0.2109787290462771,0.5753424657534247,0.03125,0.0,0.0,0.4903542399406433,0.24606779093543688,0.25449194452341867,0.19531310140155256,0.16292449389584363,0.269830314139379
base_v5,1z73_A,0.06641552078324449,,,0.0,1.0,0.05823793510595956,0.05666548179255593,0.07248799130320549,0.07377745226025581,0.06442254234026087,0.06511828056044752
base_v5,1z8u_A,0.2822472388493932,0.9561101549053357,0.738429427715142,40.69789493083954,0.0,2.231290191411972,1.0114511772990227,0.28292371332645416,0.1600573013226191,0.19758110287585767,0.7766606972471851
base_v5,2a6x_B,0.16920783346068097,0.8767441860465116,0.08354174561071112,17.218212127685547,0.0,0.05500937004884085,0.16590384062793523,0.29778177145382634,0.12933275575439135,0.16352084963816962,0.16230971750463266
base_v5,2awi_L,0.2255493866764519,0.7981949662070474,0.41920676212018826,41.47215805053711,0.0,0.1511533960700035,0.1191267105666074,0.11847744189823668,0.16260379797926075,0.25497298137181335,0.16126686557718434
base_v5,2bek_D,0.17516712583325134,0.8854174787646041,0.32037350802098347,31.227688831753202,0.011111111111111112,0.14035763370769996,0.12639506183429827,0.17560604944879316,0.1572676685234487,0.18366153785512068,0.15665759027387216
base_v5,2d5g_D,0.27948298327714566,0.8648182620446209,0.37400157590947064,22.99198627471924,0.0,0.18378829459349316,0.16707266246279082,0.11509292386472225,0.19971445446404126,0.41859988475011456,0.21685364402703242
base_v5,2eyp_A,0.19452737293423103,0.8301709385653973,0.19286477542122732,14.493084315595956,0.39655172413793105,0.16470323228973083,0.16163558764418326,0.15552996322898857,0.17671100918213048,0.222886490397788,0.17629325654856423
base_v5,2hlp_A,0.31801972003764456,0.8691670583217437,0.416640731516609,43.031165418608175,0.043782837127845885,0.28168257692708076,0.24447019946396467,0.24715589359237766,0.3283691453266604,0.32402254711035045,0.28514007248408674
base_v5,2o94_B,0.2224696957410368,0.7925209616254392,0.11005739930191405,28.4301016330719,0.375,0.15856844807664555,0.21826681719782454,0.1990038399429371,0.17519334825642763,0.23651672290281844,0.19750983527533064
base_v5,2ouv_B,0.19517570462503883,0.722688871682231,0.1498679132296457,30.5053034695712,0.045454545454545456,0.2324874782652566,0.14396321942376628,0.12012554074364173,0.14954910030764354,0.2209928220346428,0.17342363215499018
base_v5,2pp3_B,0.11384525143993303,0.9655510992964901,0.20226953438104806,40.51922728220622,0.0,0.1296841738952531,0.28297881849787454,0.2074888619824603,0.14154507959190726,0.09315624626251924,0.1709706360460029
base_v5,2xhn_B,0.13406192656518437,,,0.0,1.0,0.12203917528192207,0.11571097972669772,0.12170965967699886,0.09183837665030016,0.14081896225930807,0.11842343071904537
base_v5,2ygp_A,0.2289951940109932,1.0,1.0,30.54112434387207,0.0,0.04620158672332764,0.21640247665345674,0.2463881585460443,0.24812734223181201,0.2272028896003598,0.1968644907510001
base_v5,3a9w_A,0.1395984046544669,0.921042047766516,0.40328074227772776,27.943183263142902,0.0,0.08929659922917683,0.1745038103489649,0.13818362136681875,0.16201947575466205,0.13474997028611593,0.13975069539714768
base_v5,3ax3_A,0.666376341360085,0.7349799139571168,0.6341463820877774,22.731449445088703,0.0,1.4452089253399107,0.8846263661980629,0.700106753470997,0.7212468399721033,0.45900023175564447,0.8420378233473437
base_v5,3b8t_A,0.12208701594584816,0.8856150251520142,0.4191750743020686,25.997915074510395,0.2830188679245283,0.17480659480177382,0.12959163692221576,0.11317668710742615,0.11314328471149332,0.1230462670947072,0.13075289412752325
base_v5,3cfh_B,0.12510215774407757,0.8651912780920759,0.11305187783231262,17.798782634735108,0.375,0.12891218308359384,0.0811314096622583,0.08683244452820908,0.11570403693747697,0.1374391276578682,0.11000384037388129
base_v5,3cyi_A,2.2016246515526396,0.6249051582187416,0.9132953742525431,16.565554089016384,0.7777777777777778,1.51076340675354,1.4952702169853545,1.3995163734757798,2.170548135553577,2.659359641827825,1.847091554919215
base_v5,3dl5_C,0.22750206837714657,0.8528157036954089,0.2510934664403442,16.4854181910816,0.7631578947368421,0.4200661052345184,0.19646378715212148,0.13426847966267785,0.2109585970675999,0.23549923092740893,0.2394512400088653
base_v5,3e44_A,0.6680758691503252,0.8274705134211588,0.6584517001764231,46.82238006591797,0.0,0.9437649363563174,1.9791310727596283,0.7649135369017268,0.9022867090060993,0.6204595924262797,1.0421111694900103
base_v5,3g7j_B,0.1579529561543645,0.7792377629021038,0.29363711535523923,12.49513041973114,0.5,0.385010340057003,0.3353143662770486,0.267954756576063,0.19512344053402847,0.12377450377064933,0.2614354814429585
base_v5,3jtq_B,0.10887245888379313,0.9822695008511673,0.6946923123862778,25.843168258666992,0.5,0.15193674340844154,0.06823945045471191,0.0794726938295823,0.11410477616253399,0.10976296493073634,0.10470332575720122
base_v5,3lze_A,0.37830967451245784,,,50.91887664794922,0.0,0.5247624003224903,0.32393136707444986,0.6223609869982744,0.3938307391127393,0.35077122425834956,0.44313134355326067
base_v5,3m0o_B,0.13532201675194958,0.7646202688746683,0.23637662732995787,20.690383830992115,0.453781512605042,0.21510890538410313,0.1599956677692667,0.11956443300933436,0.11706460734108118,0.13904638026429228,0.15015599875361552
base_v5,3o98_B,0.14449740752614848,0.9700996677740864,0.05263157894736842,42.439449310302734,0.0,0.09716747204462688,0.15839644453742288,0.15738200010924502,0.1693019089102745,0.14131156859517682,0.14471187883934922
base_v5,3pnv_A,0.607757563176388,0.7990441042746781,0.4606789480311611,67.00126775105794,0.0,0.32733604311943054,0.26852274216987465,0.3721770398375211,0.5244357414164246,0.6379373769561444,0.42608178869987906
base_v5,3wfz_C,0.1075864451297589,0.7857410558731723,0.02477802828022464,41.76523303985596,0.0,0.09486684451500577,0.05284842656045739,0.1222346083365352,0.07140486061858176,0.11061178737400029,0.09039330548091608
